state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_census2011_code,state_or_ut
33,Tamil Nadu,33.0,732,Tirupathur,0.0,5719,Ambur,5719.0,S
10,Bihar,10.0,201,Katihar,212.0,1157,Amdabad,1157.0,S
8,Rajasthan,8.0,112,Rajsamand,123.0,641,Amet,641.0,S
33,Tamil Nadu,33.0,568,Chennai,603.0,7161,Aminjikarai,0.0,S
17,Meghalaya,17.0,275,West Jaintia Hills,299.0,1998,Amlarem,1998.0,S
3,Punjab,3.0,30,Fatehgarh Sahib,40.0,222,Amloh,222.0,S
3,Punjab,3.0,27,Amritsar,49.0,256,Amritsar -I,256.0,S
19,West Bengal,19.0,313,Howrah,341.0,2399,Amta - II,2399.0,S
28,Andhra Pradesh,28.0,744,Anakapalli,0.0,4871,Anakapalli,4871.0,S
24,Gujarat,24.0,440,Anand,482.0,6530,Anand City,0.0,S
24,Gujarat,24.0,440,Anand,482.0,3864,Anand Rural,3864.0,S
1,Jammu And Kashmir,1.0,1,Anantnag,14.0,55,Anantnag,55.0,U
1,Jammu And Kashmir,1.0,1,Anantnag,14.0,6822,Anantnag East,0.0,U
10,Bihar,10.0,206,Madhubani,207.0,1096,Andhratharhi,1096.0,S
31,Lakshadweep,31.0,553,Lakshadweep District,587.0,5627,Andrott,5627.0,U
27,Maharashtra,27.0,468,Amravati,503.0,4003,Anjangaon Surji,4003.0,S
36,Telangana,0.0,690,Bhadradri Kothagudem,0.0,6268,Annapureddypalli,0.0,S
29,Karnataka,29.0,536,Dharwad,562.0,7080,Annigeri,0.0,S
21,Odisha,21.0,344,Anugul,384.0,3011,Anugul,3011.0,S
8,Rajasthan,8.0,776,Anupgarh,,462,Anupgarh,462.0,S
9,Uttar Pradesh,9.0,134,Bulandshahr,142.0,748,Anupshahr,748.0,S
