state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_census2011_code,state_or_ut
28,Andhra Pradesh,28.0,523,West Godavari,546.0,4979,Iragavaram,4979.0,S
19,West Bengal,19.0,311,Uttar Dinajpur,330.0,2192,Islampur,2192.0,S
21,Odisha,21.0,367,Nayagarh,385.0,3029,Itamati,3029.0,S
12,Arunachal Pradesh,12.0,237,Papum Pare,248.0,6604,Itanagar Eac,0.0,S
20,Jharkhand,20.0,323,Chatra,347.0,2520,Itkhori,2520.0,S
29,Karnataka,29.0,535,Davangere,567.0,5511,Jagalur,5511.0,S
28,Andhra Pradesh,28.0,749,Ntr,0.0,4991,Jaggaiahpeta,4991.0,S
36,Telangana,0.0,699,Kumuram Bheem Asifabad,0.0,4320,Jainoor,4320.0,S
23,Madhya Pradesh,23.0,429,Shahdol,460.0,3690,Jaisinghnagar,3690.0,S
8,Rajasthan,8.0,774,Beawar,,597,Jaitaran,597.0,S
21,Odisha,21.0,356,Jajapur,382.0,2977,Jajapur,2977.0,S
36,Telangana,0.0,696,Suryapet,0.0,4623,Jajireddygudem,4623.0,S
5,Uttarakhand,5.0,54,Rudra Prayag,58.0,292,Jakholi*,292.0,S
28,Andhra Pradesh,28.0,515,Sri Potti Sriramulu Nellore,550.0,5157,Jaladanki,5157.0,S
24,Gujarat,24.0,453,Navsari,490.0,3923,Jalalpore,3923.0,S
3,Punjab,3.0,34,Jalandhar,37.0,212,Jalandhar - I,212.0,S
3,Punjab,3.0,34,Jalandhar,37.0,213,Jalandhar - II,213.0,S
8,Rajasthan,8.0,104,Jalore,116.0,587,Jalor,587.0,S
19,West Bengal,19.0,306,Purba Bardhaman,335.0,2295,Jamalpur,2295.0,S
19,West Bengal,19.0,703,Jhargram,0.0,2455,Jamboni,2455.0,S
24,Gujarat,24.0,457,Rajkot,476.0,3808,Jamkandorna,3808.0,S
29,Karnataka,29.0,524,Bagalkote,556.0,5443,Jamkhandi,5443.0,S
27,Maharashtra,27.0,466,Ahmednagar,522.0,4214,Jamkhed,4214.0,S
1,Jammu And Kashmir,1.0,5,Jammu,21.0,6718,Jammu West,0.0,U
20,Jharkhand,20.0,333,Jamtara,363.0,2678,Jamtara,2678.0,S
20,Jharkhand,20.0,329,Giridih,349.0,2536,Jamua,2536.0,S
8,Rajasthan,8.0,767,Deeg,,7380,Januthar,0.0,S
27,Maharashtra,27.0,494,Satara,527.0,4263,Jaoli,4263.0,S
21,Odisha,21.0,354,Ganjam,388.0,3098,Jarada,3098.0,S
20,Jharkhand,20.0,322,Bokaro,355.0,2594,Jaridih,2594.0,S
20,Jharkhand,20.0,326,Dumka,362.0,2667,Jarmundi,2667.0,S
23,Madhya Pradesh,23.0,419,Neemuch,432.0,3487,Jawad,3487.0,S
8,Rajasthan,8.0,110,Nagaur,112.0,559,Jayal,559.0,S
23,Madhya Pradesh,23.0,422,Rajgarh,442.0,3563,Jeerapur,3563.0,S
12,Arunachal Pradesh,12.0,240,Upper Siang,252.0,1664,Jengging Circle,1664.0,S
14,Manipur,14.0,260,Ukhrul,279.0,6481,Jessami,0.0,S
24,Gujarat,24.0,442,Bharuch,488.0,3917,Jhagadia,3917.0,S
8,Rajasthan,8.0,105,Jhalawar,129.0,679,Jhalrapatan,679.0,S
8,Rajasthan,8.0,778,Jodhpur (Gramin),,7220,Jhanwar,0.0,S
36,Telangana,0.0,691,Sangareddy,0.0,4476,Jharasangam,4476.0,S
21,Odisha,21.0,347,Bargarh,370.0,2756,Jharbandha,2756.0,S
23,Madhya Pradesh,23.0,435,Ujjain,435.0,6983,Jharda,0.0,S
20,Jharkhand,20.0,325,Dhanbad,354.0,2585,Jharia-Cum-Jorapokhar-Cum-Sindri,2585.0,S
8,Rajasthan,8.0,106,Jhunjhunu,103.0,487,Jhunjhunun,487.0,S
6,Haryana,6.0,65,Jind,77.0,383,Jind,383.0,S
